,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
243,3487964415,Afternoon ride with Christopher,2020-05-21T13:30:10Z,Ride,8217.7,2682,2936,61.2,"[52.464053, -2.143711]",41aeee27-eff6-43b7-9e39-0060e16132e8-activity.fit
244,3483309132,"Ran first 4.5k, walked last km ☀️",2020-05-20T17:14:38Z,Run,5551.2,2443,2446,62.6,"[52.464113, -2.143469]",a3abb402-dd75-42c7-b2d7-8d07c5a702a4-activity.fit
245,3471547858,Afternoon walk,2020-05-18T13:47:37Z,Walk,6931.1,4633,6049,74.4,"[52.464015, -2.143642]",108b4b9e-75b9-4f56-b73f-cf0a8fe78d95-activity.fit
246,3468724824,Evening ride along canals to Saltwells nature reserve,2020-05-17T18:58:54Z,Ride,22749.4,6327,7321,108.5,"[52.463948, -2.143785]",6b5b43b1-8474-4204-97db-ddd0b61561c8-activity.fit
247,3458152064,Morning Run,2020-05-16T07:51:20Z,Run,5282.1,1861,1911,66.6,"[52.464842, -2.143933]",80737ce7-2c27-417b-baec-56fec8dff82e-activity.fit
248,3451687244,Ride to Wordsley and back to play tennis with Andy,2020-05-14T18:29:39Z,Ride,10415.6,5619,7423,57.7,"[52.463992, -2.143794]",94d86906-bc43-4497-8292-1aaf23f297bf-activity.fit
249,3443661072,Gentle ride with Isy and Christopher,2020-05-13T10:26:44Z,Ride,4759.2,2333,2638,53.3,"[52.464024, -2.143731]",0ebe03ee-15f0-48b1-8ab5-ed06a1127887-activity.fit
250,3438010871,Morning Run,2020-05-12T09:01:27Z,Run,3893.6,1280,1280,42.4,"[52.465189, -2.142836]",5858fc51-032d-4abe-aad7-9324efabbd98-activity.fit
251,3417948080,Morning Ride,2020-05-08T10:05:37Z,Ride,16588.8,5965,7340,149.6,"[52.46402, -2.143747]",204f93c5-5071-4158-8710-450d2113d2ef-activity.fit
252,3411428495,Morning Run,2020-05-07T06:40:26Z,Run,3734.1,1260,1260,38.8,"[52.465347, -2.142094]",28c706bd-7293-4c63-9192-471823d9b444-activity.fit
253,3400060420,Morning Run,2020-05-05T06:59:22Z,Run,3636.7,1275,1278,33.0,"[52.465417, -2.142106]",10e0eb66-ac5a-4df4-99cf-c692632dd9c3-activity.fit
254,3384002393,Morning ride,2020-05-02T10:15:41Z,Ride,10509.6,2807,2931,61.8,"[52.463981, -2.143636]",4131b908-fb4d-430b-8b75-7e5441f2885b-activity.fit
255,3378163534,Morning Run,2020-05-01T07:25:34Z,Run,3007.3,1066,1066,31.4,"[52.47216, -2.138835]",a3c43afe-8306-4b9f-b1ea-d0c9abefbe9b-activity.fit
256,3358101162,Jog with Isy on bike,2020-04-26T18:41:44Z,Run,4259.3,1779,1932,48.1,"[52.464016, -2.14365]",ca02622e-0499-49a8-af43-d0d847b3478e-activity.fit
257,3261131631,Morning Run,2020-04-06T06:36:58Z,Run,2547.8,921,921,30.0,"[52.465676, -2.139915]",8ae43282-6f2f-46b7-b24d-235e7822670a-activity.fit
258,3250577979,Afternoon Run,2020-04-03T17:55:01Z,Run,1934.3,686,686,33.2,"[52.46398, -2.143539]",8ae43282-6f2f-46b7-b24d-235e7822670a-activity.fit
259,3121376036,Dudley parkrun,2020-02-22T09:02:39Z,Run,5076.5,1951,1986,28.6,"[52.490418, -2.134559]",
260,2456587717,Stanford Rd,2019-06-17T05:25:00Z,Run,2049.8,758,758,34.1,"[52.464075, -2.143459]",
261,2423772085,Stanford Road Bridge,2019-06-04T20:21:05Z,Run,2043.8,788,801,34.1,"[52.464074, -2.143582]",78edbcce08aa17921574fcf4bcfcd10d
